direccion,telefono,ubicacion,nombre
Juana de Arteaga y Napo (Misahualli),06-2890049,"NAPO, Misahualli",Hostal y Restaurante La Posada
Av 15 de Noviembre y Río Pano Esq. Entrada del Parque Amazónico,06-2870232,"NAPO, Tena",Hostal Loren's
Calle Misahuallí y 12 de Febrero (Tena),06-2886759,"NAPO, Tena",Hostal Los Anturios
Batallón Chimborazo y Jumandi (Baeza),06-2320471,"NAPO, Baeza",Hostal La Casa de Gina
Pto Misahualli,062890164,"NAPO, Misahualli",CASA DE HUESPEDES VILLA DULCE DANIELA
Sector Pusuno Bajo a 25 min de Puerto Misahuallí,02-2959042,"NAPO, Tena",Cabañas Suchipakari Jungle Lodge
Km 10 Vía Ahuano a 20 min del Tena,02-2234336,"NAPO, Ahuano",Cabañas Cotococha Amazon Lodge
4 de Enero y 27 de Febrero Esq.,03-2885887,"PASTAZA, Puyo",Hotel Posada Real
Vía Shell El Puyo Kim 6 (Santa Rosa),03-2792456,"PASTAZA, Puyo",Hosteria Lizanes
9 de Octubre y Lucindo Ortega,03-2887109,"PASTAZA, Puyo",Hostal Kanoas
"Km 5 Vía Tena, Puyo - Pastaza",03-2533006,"PASTAZA, Puyo",Hostería Safari
Ceslao Marin 294 y Javier Vargas,03-2885180,"PASTAZA, Puyo",Hostería Turingia
Rocafuerte 04-10 y Quito,06-2880287,"ORELLANA, Coca (Fco. de Orellana)",Hostal Santa María
Shushufindi - Limoncocha,02-2926153,"SUCUMBIOS, Shushufindi",Cuyabeno Lodge
Av Jorge Mosquera y Carlos Vélez,07-3038713,"ZAMORA CHINCHIPE, Guayzimi",Hotel Ayamtaic
Calle Francisco de Orellana y Av Amazonas,07-2607030,"ZAMORA CHINCHIPE, Zamora",Hotel Betania
Calle Diego de Vaca y Luis Marquez,07-2627027,"ZAMORA CHINCHIPE, Zamora",Hotel Everlast
Av Iván Riofrío y 1ero de Mayo,07-2300901,"ZAMORA CHINCHIPE, Yantzaza",Hotel Oriental
Diego de Vaca y Calle Vicente Aldean,07-2607800,"ZAMORA CHINCHIPE, Zamora",Hotel Wampushkar
Calle 1ero de Mayo e Iván Riofrío,07-2300911,"ZAMORA CHINCHIPE, Yantzaza",Hotel´s Sebastian´s Internacional
Calle Bolívar y Abdón Calderón,07-2695357,"LOJA, Macará",Hostal Conquistador
"Francisco de Orellana y Domingo Comín, esquina",07-2780138,"MORONA SANTIAGO, Gualaquiza",Hotel Wakiz
Domingo Comín s/n y Kiruba,07-2740483,"MORONA SANTIAGO, Sucúa",Hotel Don Guimo
Calle Gonzalo P. y García Moreno,07-2780113,"MORONA SANTIAGO, Gualaquiza",Hostal Residencial Anita
Av. domingo comín y Serafín Solís,07-2740216,"MORONA SANTIAGO, Sucúa",Hostal Athenas
Av Eleodoro Solorzano E/ Calle 18 y 19,04-2781314,"SANTA ELENA, La Libertad",Hotelito
Km 1.5 Vía a la Data,04-2761770,"GUAYAS, General Villamil - Playas",Hotel Ana
Av 9 y 24 de Mayo Frente al Terminal Terrestre,05-2623159,"MANABI, Manta",Hotel Leo
Av 6 de Diciembre N34-120 y Eloy Alfaro,02-2430600,"PICHINCHA, Quito",Hotel Akros
Av Eloy Alfaro entre Calle 4ta y 4ta Chipipe,04-2770705,"SANTA ELENA, Salinas",Hotel Amira
Calle Balzar y Av Las Flores,05-2791131,"LOS RIOS, Vinces",Hotel Azuay
Calle 30 y Malecón,04-2771172,"SANTA ELENA, Salinas",Hotel Bleu
Av 10 de Agosto N35-77 e Ignacio San Maria,02-2257391,"PICHINCHA, Quito",Hotel Gold
Juan Montalvo E/ Boyacá y Pasaje,07-2932301,"EL ORO, Machala",Hotel Inés
Av de las Américas 10-93 y Luis Cordero,07-2838305,"AZUAY, Cuenca",Hotel Kuna
Luis Monsalve Pozo y Av Che Guevara,07-2249916,"CAÑAR, Azogues",Hotel León
Montañita,04-2060052,"SANTA ELENA, Montañita",Hotel Maeo
Eloy Alfaro y Sucre,07-2945994,"EL ORO, Santa Rosa",Hotel Magma
Malecón y Calle 108,05-2384743,"MANABI, Manta",Hotel Miami
Pdte. Córdova 9-89 y Padre Aguirre,07-2831104,"AZUAY, Cuenca",Hotel Milán
Mariano Cueva 11-63 y Sangurima,07-2827881,"AZUAY, Cuenca",Hotel Norte
Av González Suárez N27-142,02-3964900,"PICHINCHA, Quito",Hotel Quito
Hno. Miguel 5-84 y Juan Jaramillo,07-2822552,"AZUAY, Cuenca",Hotel Siena
Sangurima 1-49 y Manuel Vega,07-4114384,"AZUAY, Cuenca",Hotel Tito
La Ensenadita Diagonal al Paso Lateral Tarqui,05-2623295,"MANABI, Manta",Hotel Umiña
"Francisco de Orellana y Domingo Comín, esquina",07-2780138,"MORONA SANTIAGO, Gualaquiza",Hotel Wakiz
Segunda Av y 14 Calle s/n Sector Chipipe,04-2772028,"SANTA ELENA, Salinas",Hotel Yulee
Ramon Pinto 07/15 entre Jose Antonio Eguiguren,072587900,"LOJA, Loja",HOTEL CALUVA
Guayaquil  y Rocafuerte s/n,03-2421791,"TUNGURAHUA, Ambato",Hotel Ambato
Luis Cordero 11-89 y Sangurima Esq.,07-2827016,"AZUAY, Cuenca",Hotel Atenas
Km. 2 1/2 Vía al KM. 26,08-5970820,"GUAYAS, Milagro",Hotel Berlín
Calle Ibarra 906 y Av 29 de Mayo,02-2750277,"SANTO DOMINGO DE LOS TSACHILAS, Santo Domingo",Hotel Caleta
Av La Prensa 2331 y Av Daniel León Borja (Terminal Terrestre Riobamba),03-2946676,"CHIMBORAZO, Riobamba",Hotel Canadá
Juan Rodríguez E7-29 y Reina Victoria,02-2567616,"PICHINCHA, Quito",Hotel Cayman
Calle Larga 7-93 y Luis Cordero,07-2842571,"AZUAY, Cuenca",Hotel Crespo
Calle Larga 7-93 y Luis Cordero,07-2842571,"AZUAY, Cuenca",Hotel Crespo
A. Borrero 10-69 E/ Mariscal Lamar y G Colombia,07-2833711,"AZUAY, Cuenca",Hotel Cuenca
Borrero 10-69 y Lamar,07-2833711,"AZUAY, Cuenca",Hotel Cuenca
Borrero 10-69 y Gran Colombia,07-2833711,"AZUAY, Cuenca",Hotel Cuenca
Sangurima 2-55 y Tomás Ordóñez,07-2830493,"AZUAY, Cuenca",Hotel Europa
Venezuela N2-37 y Bolívar,02-2280386,"PICHINCHA, Quito",Hotel Hernán
Calle Novena 433 y June Guzmán (Frente al IESS),05-2750353,"LOS RIOS, Quevedo",Hotel Hilton
Av Bolívar y Calle Checa Esquina (Bahia),05-2691137,"MANABI, Bahía",Hotel Italia
Av América y 5 de Junio,05-2636521,"MANABI, Portoviejo",Hotel Máximo
Colón 14-31 y Bolívar,07-2571402,"LOJA, Loja",Hotel Ramsés
Carrión E7-26 Y Reina Victoria,02-2543276,"PICHINCHA, Quito",Hotel Rick's
Luque 1101 - 1103 y Pedro Moncayo,04-2320030,"GUAYAS, Guayaquil",Hotel Sander
Plazoleta Isidro Ayora - 100,03-2740490,"TUNGURAHUA, Banos  Tungurahua",Hotel Sangay
B Malo 10-70 E/ Lamar y Gran Colombia,07-2837058,"AZUAY, Cuenca",Hotel 4 Mundos
SUCRE 07-61 Y 10 DE AGOSTO,07-2570651,"LOJA, Loja",Hotel Acapulco
Malecón Km 1.5 Vía Canoa,05-2674179,"MANABI, San Vicente",Hotel Alcatraz
Eugenio Espejo y Juan León Mera (Baños - Tungurahua),03-2741391,"TUNGURAHUA, Baños Tungurahua",Hotel Alisamay
Av Tnte. Hugo Ortiz S25-247 y Cusubamba,02-2683030,"PICHINCHA, Quito",Hotel Allegria
Baquerizo Moreno 840 y Junín,04-2311060,"GUAYAS, Guayaquil",Hotel Andaluz
Av Principal Diagonal al Estadio Camilo Gallegos Vía Salinas,04-2778720,"SANTA ELENA, Salinas",Hotel Aragosta
5 de Junio E/ Seminario y Bolívar,04-2710450,"LOJA, Loja",Hotel Astoría
Av Jorge Mosquera y Carlos Vélez,07-3038713,"ZAMORA CHINCHIPE, Guayzimi",Hotel Ayamtaic
Av Queseras del Medio E11-205 y Av Colombia,02-2540629,"PICHINCHA, Quito",Hotel Barnard
Av Olmedo 1502 y Rocafuerte,06-2712647,"ESMERALDAS, Esmeraldas",Hotel Barracón
Calle Francisco de Orellana y Av Amazonas,07-2607030,"ZAMORA CHINCHIPE, Zamora",Hotel Betania
Gran Colombia 9-52 y Benigno Malo,07-2832063,"AZUAY, Cuenca",Hotel Carvallo
Av Miguel H Alcívar y Calle Ulloa (Esq) (Frente al Parque Japones),04-2680190,"GUAYAS, Guayaquil",Hotel Castell
Salinas Sector Chipipe,04-2770550,"SANTA ELENA, Salinas",Hotel Chipipe
Guayaquil entre Sucre y Manabí,04-2941572,"SANTA ELENA, Santa Elena",Hotel Cisne II
Mariano Cueva 9-42 y Bolívar,07-2838108,"AZUAY, Cuenca",Hotel Coronel
Av América N34-11 y Rumipamba,02-2442048,"PICHINCHA, Quito",Hotel Cotopaxi
Boyacá 822 E/ Páez y Juan Montalvo,07-2932135,"EL ORO, Machala",Hotel Cumandá
Vicente Rocafuerte y Eloy Alfaro,03-2740426,"TUNGURAHUA, Baños Tungurahua",Hotel Danubio
Aguirre y Andrés Marín,04-2455977,"GUAYAS, Guayaquil",Hotel Del Rey
Clemente Ballén 1105 y Pío Montúfar,042324925,"GUAYAS, Guayaquil",Hotel Delicia
Av de las Americas  y Av Amazonas,07-2881655,"AZUAY, Cuenca",Hotel El Cisne
Av. de Las Américas E/ Remigio Crespo y Amazonas,07-2881655,"AZUAY, Cuenca",Hotel El Cisne
"Barrio Nueva Granada, Calle Principal Atacames",06-2731258,"ESMERALDAS, Atacames",Hotel Elicio's
Abdón Calderón y Malecón,05-2971825,"LOS RIOS, Ventanas",Hotel Elisita
Wilson E8-22 y Av 6 de Diciembre,02-2561990,"PICHINCHA, Quito",Hotel Embassy
Gran Colombia 1-82 y Huayna Cápac,07-2844961,"AZUAY, Cuenca",Hotel Ensueños
Gran Colombia 1-82 y Huayna Cápac,07-2844961,"AZUAY, Cuenca",Hotel Ensueños
Calle Diego de Vaca y Luis Marquez,07-2627027,"ZAMORA CHINCHIPE, Zamora",Hotel Everlast
Calle Eloy Alfaro y Malecón (Pto. López),05-2300156,"MANABI, Puerto López",Hotel Fragata
Ayacucho 1503 y Antepara Esq,04-2451127,"GUAYAS, Guayaquil",Hotel Geminis
Boyacá 702 y Padre Solano,042565667,"GUAYAS, Guayaquil",Hotel Huracan
Rocafuerte 22-15 y 10 de Agosto,03-2960429,"CHIMBORAZO, Riobamba",Hotel Imperial
Calle Guayaquil y Av Ing. Davila,07-2908795,"EL ORO, Arenillas",Hotel Imperial
La Niña E4-421 E/ Av Amazonas y Juan León Mera,02-2230472,"PICHINCHA, Quito",Hotel La Niña
Chile 303 y Luque piso 13,09-68999181,"GUAYAS, Guayaquil",Hotel La Torre
Av República del Salvador N34-349 e Irlanda,02-2276800,"PICHINCHA, Quito",Hotel Le Parc
Calle de Los Cocteleros,04-2060038,"SANTA ELENA, Montañita",Hotel Majagua
Mercadillo 366 (Oe2-58) y Versalles (Sta Clara),02-2543182,"PICHINCHA, Quito",Hotel Majestic
Luis Cordero 11-29 E/ Mariscal y Sangurima,07-2843502,"AZUAY, Cuenca",Hotel Majestic
Barrio El Murciélago Calle 22 y Av Flavio Reyes,05-2629455,"MANABI, Manta",Hotel Mar Azul
Av Principal de Salinas Cdla Italiana (Sector San Lorenzo),04-2779588,"SANTA ELENA, Salinas",Hotel Marnier
Primero de Mayo 1010 E/ Tulcán y Carchi,04-2285099,"GUAYAS, Guayaquil",Hotel Mi Casa
Manabí 105 y Cacique Álvarez,04-2415353,"GUAYAS, Guayaquil",Hotel México 2
Av Iván Riofrío y 1ero de Mayo,07-2300901,"ZAMORA CHINCHIPE, Yantzaza",Hotel Oriental
Colorado Km 7.5 Carretera Panamericana entre Manta y Montecristi,05-2922827,"MANABI, Manta",Hotel Orlando
Ximena 718 E/ Víctor Manuel Rendón y Junín,042309916,"GUAYAS, Guayaquil",Hotel Oro Mar
Av Amazonas N20-20 y 18 de Septiembre,02-2902490,"PICHINCHA, Quito",Hotel Othello
Km 1.5 Vía Barbasquillo,05-5002800,"MANABI, Manta",Hotel Poseidon
Calle 27 y Gral. Enriquez Gallo,04-2774268,"SANTA ELENA, Salinas",Hotel Salinas
General Enrique Gallo y Calle 27,04-2772179,"SANTA ELENA, Salinas",Hotel Salinas
General Torres 9-59 y Gran Colombia,07-2840870,"AZUAY, Cuenca",Hotel San Juan
Av Cevallos  y Quito (Esq ),03-2826249,"TUNGURAHUA, Ambato",Hotel Señorial
"Av Charles Darwin y Thomas de Berlanga, Isla Santa Cruz",05-2526281,"GALAPAGOS, Puerto Ayora",Hotel Solymar
Av Joaquín Orrantia y Av Leopoldo Benitez (junto al Mall del Sol),04-2595900,"GUAYAS, Guayaquil",Hotel Sonesta
Baquerizo Moreno 903 y Junín,042309746,"GUAYAS, Guayaquil",Hotel Tourist
Clemente Ballén 406 E/ Chile y Chimborazo,04-2327100,"GUAYAS, Guayaquil",Hotel Unipark
Av Miguel Ángel León 2310 y Primera Constituyente ( Riobamba),03-2968137,"CHIMBORAZO, Riobamba",Hotel Whymper
Vicente Ramon Roca E4-115 y Av Amazonas,02-2224033,"PICHINCHA, Quito",Hotel Windsor
Vargas Machuca 10-70 E/ Gran Colombia y M. Lamar,07-4115081,"AZUAY, Cuenca",Hotel Yanuncay
Vigésima Tercera 1123 y Malecón,05-2763381,"LOS RIOS, Quevedo",Hotel del Río
"16 de Diciembre y Ambato, Frente al Parque de la Basílica",03-2740389,"TUNGURAHUA, Baños Tungurahua",Hotel Achupalla
Av José Ugarte y Gonzalo Córdova (Pto. Bolívar),07-2927531,"EL ORO, Puerto Bolívar",Hotel Adriand's
Av Amazonas N50-25 y Geodésicos,02-2435899,"PICHINCHA, Quito",Hotel Aeropuerto
Luque 1107 y Av Quito,042532000,"GUAYAS, Guayaquil",Hotel Alexander
Pdte. Córdova y Padre Aguirre Esq.,07-2831844,"AZUAY, Cuenca",Hotel Alli Tiana
Juan León Mera N23-41 y Veintimilla,02-2222721,"PICHINCHA, Quito",Hotel Alston Inn
Lorenzo de Garaycoa # 1233 E/ Clemente Ballén y Aguirre,04-2329796,"GUAYAS, Guayaquil",Hotel Andes Inn
Calle 101 E/ Av 106 y 107 (Fte. Monumento del Pescador),05-2381856,"MANABI, Manta",Hotel Arena Mar
Eloy Alfaro 1-43 y Av Huayna-Cápac,07-2809214,"AZUAY, Cuenca",Hotel Best Plaza
Av Sixto Durán Ballén Km 5.5,05-2399399,"MANABI, Bahía",Hotel Casa Ceibo
Av Manabí  y P Montúfar Esquina,05-2655109,"MANABI, Portoviejo",Hotel Ceibo Real
"Boyacá 922 y Víctor Manuel Rendón, esquina",042309209,"GUAYAS, Guayaquil",Hotel Cityplaza
Domingo Comín s/n y Kiruba,07-2740483,"MORONA SANTIAGO, Sucúa",Hotel Don Guimo
Av Principal Carlos Espinoza Larrea diagonal a Supermaxi,04-2775034,"SANTA ELENA, Salinas",Hotel Don Mincho
18 de Oct e/ 10 de Agosto y Pedro Gual,05-2630840,"MANABI, Portoviejo",Hotel Ejecutivo
Sucre y 9 de Mayo Esq.,07-2933992,"EL ORO, Machala",Hotel Ejecutivo
Av Tarqui E1-206 y Luis Felipe Borja (Frente al Parque El Ejido),02-2523565,"PICHINCHA, Quito",Hotel Ejido Real
Mirador del Pululahua (Mitad del Mundo),02-2398132,"PICHINCHA, Quito",Hotel El Cráter
Argentinos y Av Carlos Zambrano,03-2960981,"CHIMBORAZO, Riobamba",Hotel El Galpón
México 03-99 y El Salvador a dos cuadras del Terminal Terrestre Ingahurco,03-2520881,"TUNGURAHUA, Ambato",Hotel El Jardín
Malecón y Los Crotos,06-2731560,"ESMERALDAS, Atacames",Hotel El Marqués
Duchicela 4213 y Unidad Nacional,03-2942232,"CHIMBORAZO, Riobamba",Hotel El Molino
Hno Miguel 9-58 y Gran Colombia (Frente al Pasaje San Alfonso),07-2835031,"AZUAY, Cuenca",Hotel El Quijote
Barrio Banife Cdla De Los Choferes Mz 1 Sl 1-2,04-2796949,"GUAYAS, Daule",Hotel El Refugio
Atacames - Frente al Mar,06-2731145,"ESMERALDAS, Atacames",Hotel El Tiburon
Av. Cevallos 10-14 y Lalama esq.,03-2424466,"TUNGURAHUA, Ambato",Hotel Emperador
18 de Febrero y Piqueros - Isla Santa Cruz,05-2526122,"GALAPAGOS, Puerto Ayora",Hotel Fernandina
Finlandia N32-129 y Suecia,02-2244287,"PICHINCHA, Quito",Hotel Finlandia
General Torres 9-70 E/Bolívar y G. Colombia,07-2821934,"AZUAY, Cuenca",Hotel Gran Hotel
General Torres 9-70 E/ Bolívar y Gran Colombia,07-2831934,"AZUAY, Cuenca",Hotel Gran Hotel
Mera 07-86 y 12 de Noviembre,03-2823886,"TUNGURAHUA, Ambato",Hotel Guayaquil
Gral Torres 8-40 E/ M. Sucre y Bolívar,07-2825571,"AZUAY, Cuenca",Hotel Inca Real
Calle 21 E/ La 1ra y la 2da,04-2784210,"SANTA ELENA, La Libertad",Hotel La Caleta
Isla Floreana E5-43 e Isla San Cristóbal,02-2451288,"PICHINCHA, Quito",Hotel La Cibeles
"P. Icaza 404 y General Córdova, esquina",042307230,"GUAYAS, Guayaquil",Hotel La Fontana
Octavio Ochoa E/ Sucre y Olmedo,07-2946083,"EL ORO, Santa Rosa",Hotel La Fortuna
Av Atahualpa 15-142 y Juan Francisco Bonilla,06-2956002,"IMBABURA, Ibarra",Hotel La Giralda
Circunvalación Virgilio Ratti 803 (Frente al Mar),05-2690780,"MANABI, Bahía",Hotel La Piedra
Escobedo 1215 E/ 9 de Octubre y Vélez Esq.,04-2323374,"GUAYAS, Guayaquil",Hotel Las Peñas
Calle 101 y Av 105,05-2620607,"MANABI, Manta",Hotel Las Rocas
Colón 14-30 y Bolívar,07-2570344,"LOJA, Loja",Hotel Libertador
"Rocafuerte 2160 y 10 de Agosto, Esquina",03-2960323,"CHIMBORAZO, Riobamba",Hotel Los Shyris
Madrid 1-42 y Av España,07-2863444,"AZUAY, Cuenca",Hotel Los Álamos
Cdla La Italiana Calle 54 y Av 38 Diag. al Colegio Rubira,04-2778529,"SANTA ELENA, Salinas",Hotel Manhattan
